u,observed_q,epsilon_floor,residue
1.2599999999999998,1.2730150405209368,1.0,0.013015040520937049
1.2800000000000002,1.2911064353018886,1.0,0.011106435301888373
1.2999999999999998,1.3094667681151058,1.0,0.009466768115105939
1.3200000000000003,1.3280610931251777,1.0,0.008061093125177443
1.3399999999999999,1.3468582097776032,1.0,0.006858209777603319
1.3600000000000003,1.3658304821888494,1.0,0.005830482188849073
1.38,1.384953597527769,1.0,0.004953597527769027
1.4000000000000004,1.4042062899295358,1.0,0.004206289929535423
1.42,1.4235700501927144,1.0,0.0035700501927145023
1.4400000000000004,1.4430288359828354,1.0,0.0030288359828349876
1.46,1.462568792677535,1.0,0.00256879267753507
1.4800000000000004,1.4821779913501376,1.0,0.0021779913501371873
1.5,1.5018461876173228,1.0,0.0018461876173228031
1.5199999999999996,1.521564603045575,1.0,0.0015646030455753746
1.54,1.5413257293818314,1.0,0.0013257293818313975
1.5599999999999996,1.5611231549151792,1.0,0.0011231549151795583
1.58,1.5809514116737113,1.0,0.0009514116737112666
1.5999999999999996,1.600805841818694,1.0,0.0008058418186942529
1.62,1.6206824814414533,1.0,0.0006824814414532199
1.6399999999999997,1.6405779599383612,1.0,0.0005779599383615164
1.6600000000000001,1.6604894131924686,1.0,0.0004894131924684242
1.6799999999999997,1.6804144088945727,1.0,0.000414408894573004
1.7000000000000002,1.700350882469231,1.0,0.0003508824692308732
1.7199999999999998,1.7202970822165273,1.0,0.0002970822165275777
1.7400000000000002,1.7402515224278556,1.0,0.0002515224278554218
1.7599999999999998,1.7602129433766733,1.0,0.00021294337667354668
1.7800000000000002,1.7801802772191708,1.0,0.00018027721917057704
1.7999999999999998,1.8001526189627206,1.0,0.00015261896272078523
1.8200000000000003,1.8201292017710946,1.0,0.00012920177109432274
1.8399999999999999,1.840109375974453,1.0,0.00010937597445304093
1.8600000000000003,1.860092591239696,1.0,9.259123969562744e-05
1.88,1.8800783814334716,1.0,7.838143347171922e-05
1.9000000000000004,1.9000663517770437,1.0,6.635177704339412e-05
1.92,1.920056167950186,1.0,5.616795018603682e-05
1.9400000000000004,1.940047546851392,1.0,4.754685139163328e-05
1.96,1.9600402487647475,1.0,4.024876474750805e-05
1.9800000000000004,1.9800340707208859,1.0,3.407072088545959e-05
2.0,2.0000288408710767,1.0,2.8840871076685204e-05
2.0199999999999996,2.0200244137206553,1.0,2.4413720655758198e-05
2.04,2.040020666091083,1.0,2.066609108286599e-05
2.0599999999999996,2.0600174936996676,1.0,1.7493699667969764e-05
2.08,2.080014808262767,1.0,1.4808262767118663e-05
2.0999999999999996,2.1000125350425396,1.0,1.2535042539951746e-05
2.12,2.1200106107695067,1.0,1.0610769506591566e-05
2.1399999999999997,2.140008981883435,1.0,8.981883435232874e-06
2.16,2.160007603043865,1.0,7.603043864712333e-06
2.1799999999999997,2.180006435868984,1.0,6.435868984411286e-06
2.2,2.2000054478679063,1.0,5.4478679061276125e-06
2.2199999999999998,2.220004611536692,1.0,4.611536692067375e-06
2.24,2.240003903593048,1.0,3.9035930479158765e-06
2.26,2.2600033043284276,1.0,3.304328427766734e-06
2.2800000000000002,2.280002797059539,1.0,2.7970595386506147e-06
2.3,2.3000023676640193,1.0,2.3676640195091636e-06
2.3200000000000003,2.3200020041873586,1.0,2.0041873582954395e-06
2.34,2.3400016965101464,1.0,1.6965101465871157e-06
2.3600000000000003,2.360001436066394,1.0,1.4360663938006724e-06
2.38,2.3800012156050747,1.0,1.2156050748224345e-06
2.4000000000000004,2.4000010289882807,1.0,1.0289882803604655e-06
2.42,2.420000871020348,1.0,8.710203482920065e-07
2.4400000000000004,2.440000737303218,1.0,7.373032175905792e-07
2.46,2.4600006241139933,1.0,6.241139933749196e-07
2.4800000000000004,2.480000528301301,1.0,5.283013004842019e-07
2.5,2.5000004471975474,1.0,4.471975474373835e-07
2.5199999999999996,2.520000378544659,1.0,3.785446596182851e-07
2.54,2.540000320431214,1.0,3.204312140070442e-07
2.5599999999999996,2.560000271239222,1.0,2.712392221937421e-07
2.58,2.5800002295990847,1.0,2.2959908463349166e-07
2.5999999999999996,2.6000001943514572,1.0,1.9435145759416628e-07
2.62,2.6200001645149777,1.0,1.6451497764080614e-07
2.6399999999999997,2.6400001392589365,1.0,1.3925893682653623e-07
2.66,2.6600001178801556,1.0,1.1788015541469576e-07
2.6799999999999997,2.6800000997834044,1.0,9.978340465011115e-08
2.7,2.7000000844648344,1.0,8.44648342379628e-08
2.7199999999999998,2.720000071497942,1.0,7.149794223337835e-08
2.74,2.7400000605217043,1.0,6.052170409276414e-08
2.76,2.7600000512305183,1.0,5.123051849409421e-08
2.7800000000000002,2.7800000433656993,1.0,4.3365699031738814e-08
2.8,2.8000000367082727,1.0,3.6708272865837444e-08
2.8200000000000003,2.820000031072883,1.0,3.1072882933358414e-08
2.84,2.8400000263026275,1.0,2.630262763148039e-08
2.8600000000000003,2.8600000222646944,1.0,2.2264694088391934e-08
2.88,2.880000018846657,1.0,1.8846657123816613e-08
2.9000000000000004,2.9000000159533514,1.0,1.5953351084618816e-08
2.92,2.92000001350422,1.0,1.3504219964488584e-08
2.9400000000000004,2.940000011431076,1.0,1.1431075641610278e-08
2.96,2.9600000096761967,1.0,9.676196732755216e-09
2.9800000000000004,2.980000008190724,1.0,8.190723654877274e-09
3.0,3.0000000069332984,1.0,6.933298379863118e-09
3.0199999999999996,3.02000000586891,1.0,5.868910246675796e-09
3.04,3.0400000049679248,1.0,4.967924738252805e-09
3.0599999999999996,3.0600000042052575,1.0,4.205257919664973e-09
3.08,3.080000003559674,1.0,3.559673888986481e-09
3.0999999999999996,3.1000000030131982,1.0,3.013198579537857e-09
3.12,3.120000002550618,1.0,2.5506179390788475e-09
3.1399999999999997,3.1400000021590513,1.0,2.1590516041669616e-09
3.16,3.1600000018275978,1.0,1.82759762878959e-09
3.1799999999999997,3.1800000015470276,1.0,1.5470278391660486e-09
3.2,3.200000001309531,1.0,1.3095307060950745e-09
3.2199999999999998,3.220000001108494,1.0,1.1084941853312102e-09
3.24,3.24000000093832,1.0,9.38319644205876e-10
3.26,3.2600000007942707,1.0,7.942708712960211e-10
3.2800000000000002,3.2800000006723358,1.0,6.7233552059065e-10
3.3,3.3000000005691192,1.0,5.691194182588788e-10
3.3200000000000003,3.32000000048175,1.0,4.817497512021873e-10
3.34,3.340000000407792,1.0,4.077920223721776e-10
3.3600000000000003,3.360000000345189,1.0,3.4518876645961427e-10
3.38,3.3800000002921955,1.0,2.921956010482063e-10
3.4000000000000004,3.4000000002473385,1.0,2.473381499612515e-10
3.42,3.4200000002093676,1.0,2.0936763434065142e-10
3.4400000000000004,3.4400000001772257,1.0,1.772253455101236e-10
3.46,3.460000000150018,1.0,1.500182200686595e-10
3.4800000000000004,3.480000000126988,1.0,1.2698775364583526e-10
3.5,3.500000000107493,1.0,1.074931255118372e-10
3.5199999999999996,3.5200000000909903,1.0,9.099077047380888e-11
3.54,3.540000000077022,1.0,7.702194437797516e-11
3.5599999999999996,3.5600000000651972,1.0,6.519762507650739e-11
3.58,3.580000000055189,1.0,5.518874246490668e-11
3.5999999999999996,3.600000000046716,1.0,4.671640851938719e-11
3.62,3.6200000000395445,1.0,3.9544367780308676e-11
3.6399999999999997,3.6400000000334733,1.0,3.347366828165832e-11
3.66,3.660000000028335,1.0,2.8334667945273395e-11
3.6799999999999997,3.680000000023985,1.0,2.3985258224001882e-11
3.7,3.700000000020303,1.0,2.0302870495925163e-11
3.7199999999999998,3.7200000000171856,1.0,1.7185808331987573e-11
3.74,3.7400000000145477,1.0,1.4547474336268351e-11
3.76,3.7600000000123144,1.0,1.2314593789142236e-11
3.7800000000000002,3.780000000010424,1.0,1.042366193360067e-11
3.8,3.8000000000088234,1.0,8.823608510510894e-12
3.8200000000000003,3.820000000007469,1.0,7.468692331258353e-12
3.84,3.8400000000063224,1.0,6.3224980806353415e-12
3.8600000000000003,3.860000000005352,1.0,5.3517190679031046e-12
3.88,3.88000000000453,1.0,4.530154029680489e-12
3.9000000000000004,3.900000000003835,1.0,3.834710327055291e-12
3.92,3.9200000000032458,1.0,3.2458480347941077e-12
3.9400000000000004,3.940000000002748,1.0,2.7475799413423374e-12
3.96,3.960000000002326,1.0,2.326139281194628e-12
3.9800000000000004,3.9800000000019695,1.0,1.9690915564751776e-12
4.0,4.000000000001666,1.0,1.666222715357435e-12
4.02,4.02000000000141,1.0,1.4104273304837989e-12
4.04,4.040000000001195,1.0,1.1945999744966684e-12
4.06,4.06000000000101,1.0,1.0107470416187425e-12
4.08,4.080000000000856,1.0,8.562039965909207e-13
4.1,4.100000000000724,1.0,7.247535904753022e-13
4.12,4.120000000000614,1.0,6.137312880127865e-13
4.14,4.140000000000518,1.0,5.186961971048731e-13
4.16,4.160000000000439,1.0,4.3876013933186186e-13
4.18,4.180000000000371,1.0,3.7125857943465235e-13
4.2,4.200000000000315,1.0,3.1441516057384433e-13
4.22,4.220000000000266,1.0,2.6645352591003757e-13
4.24,4.240000000000226,1.0,2.255973186038318e-13
4.26,4.260000000000191,1.0,1.9095836023552692e-13
4.28,4.280000000000162,1.0,1.616484723854228e-13
4.3,4.300000000000137,1.0,1.3677947663381929e-13
4.32,4.320000000000116,1.0,1.1546319456101628e-13
4.34,4.340000000000098,1.0,9.769962616701378e-14
4.36,4.360000000000083,1.0,8.260059303211165e-14
4.38,4.38000000000007,1.0,7.016609515630989e-14
4.4,4.400000000000059,1.0,5.861977570020827e-14
4.42,4.42000000000005,1.0,4.973799150320701e-14
4.44,4.440000000000043,1.0,4.263256414560601e-14
4.46,4.460000000000036,1.0,3.6415315207705135e-14
4.48,4.480000000000031,1.0,3.019806626980426e-14
4.5,4.500000000000027,1.0,2.6645352591003757e-14
4.52,4.520000000000021,1.0,2.1316282072803006e-14
4.54,4.540000000000019,1.0,1.865174681370263e-14
4.56,4.560000000000015,1.0,1.509903313490213e-14
4.58,4.580000000000013,1.0,1.3322676295501878e-14
4.6,4.60000000000001,1.0,1.0658141036401503e-14
4.62,4.62000000000001,1.0,9.769962616701378e-15
4.64,4.640000000000008,1.0,7.993605777301127e-15
4.66,4.660000000000007,1.0,7.105427357601002e-15
4.68,4.680000000000005,1.0,5.329070518200751e-15
4.7,4.700000000000005,1.0,4.440892098500626e-15
4.72,4.720000000000004,1.0,4.440892098500626e-15
4.74,4.740000000000004,1.0,3.552713678800501e-15
4.76,4.760000000000003,1.0,3.552713678800501e-15
4.78,4.780000000000003,1.0,2.6645352591003757e-15
4.8,4.8000000000000025,1.0,2.6645352591003757e-15
4.82,4.820000000000002,1.0,1.7763568394002505e-15
4.84,4.840000000000002,1.0,1.7763568394002505e-15
4.86,4.860000000000002,1.0,1.7763568394002505e-15
4.88,4.880000000000001,1.0,8.881784197001252e-16
4.9,4.900000000000002,1.0,1.7763568394002505e-15
4.92,4.92,1.0,0.0
4.94,4.940000000000001,1.0,8.881784197001252e-16
4.96,4.960000000000001,1.0,8.881784197001252e-16
4.98,4.980000000000001,1.0,8.881784197001252e-16
5.0,5.0,1.0,0.0
